ID,review,cleaned_review,date,verification_status,neg_score,neu_score,pos_score,rating
271,"Flew ATL to LHR 8th Jan 2023. Was unlucky enough to be on board a 23 year old 777. Refit gave it a decent IFE screen and the seat looked decent. Although combine the IFE with the cheap and nasty earbuds, and any movie can be ruined. Headrest was great, just a pity little padding is used on the seat as my Wife and I were very uncomfortable. The leg room in general is poor, especially when passengers keep their seat reclined from start to finish. Zero room. Aircraft was tired. Rubber spacers falling out, silicone sealer falling apart in the toilets. Toilet seats old, stained. Rubber on arm rest was hanging off. No post take off drinks/snacks offered.  Meal was sent out after a couple of hours. Was poor. Chicken cubes that reminded me of dog food, mashed potatoes that were purified within an inch of their life. Stale rock hard roll, salad which was rice and carrots?! Dried crackers with no cheese. Kids meal was just as sad. Tiny leaf salad with enough dressing to refloat a shipwreck. Coffee creamer was given with the kids meal? Snack was decent for the adults, bagel with cheese and egg. Hot and tasty. Kids snack was a green wrap with spinach and onions in it.  Very very poor. Mix the food, BA service with a grunt, being crammed into a seat for 7 hours, landing at a remote stand and enduring a bus to the terminal and BA in my opinion, is terrible. This flight was so disappointing. Other than one great member of cabin crew, everything else was just average.",flew atl lhr th jan unlucky enough board year old refit gave decent ife screen looked decent although combine ife cheap nasty earbuds movie ruined headrest great pity little padding used wife uncomfortable leg room general poor especially passengers keep reclined start finish zero room tired rubber spacers falling silicone sealer falling apart toilets toilet seats old stained rubber arm rest hanging post take drinkssnacks offered meal sent couple hours poor chicken cubes reminded dog food mashed potatoes purified within inch life stale rock hard roll salad rice carrots dried crackers cheese kids meal sad tiny leaf salad enough dressing refloat shipwreck coffee creamer given kids meal snack decent adults bagel cheese egg hot tasty kids snack green wrap spinach onions poor mix food service grunt crammed hours landing remote stand enduring bus terminal opinion terrible disappointing one great member cabin crew everything else average,2023-01-09,Verified ,0.8755025,0.10456888,0.019928582,1
272,"Great thing about British Airways A380 is the economy section upstairs. Get this if you can as it allows you to have small stowage cupboards at the window seats. Despite being not very old, the A380 looked tired inside. Broken side stowage, a seat that reclined uncontrollably and slow to react IFE. The food was supposed to be Christmas dinner. 3 wafer thin bits of dry turkey, 4 over cooked sprouts and some cubed potatoes. Poor in taste and quality. Mousse desert was great though. Slight issue during the snack meal. Ordered a childs option which was marked as such. Regular meal arrived as well and they were exactly the same. Asked a crew member to be told the difference was the sticker on the box. Staff were ok. Couple decent but mostly just ok. Overall, BA just seems a tad cheap these days. Great to sit upstairs but that was where the enjoyment ended. Just seemed a bit dull and like BA are just an average airline.",great thing economy section upstairs get allows small stowage cupboards window seats despite old looked tired inside broken side stowage reclined uncontrollably slow react ife food supposed christmas dinner wafer thin bits dry turkey cooked sprouts cubed potatoes poor taste quality mousse desert great though slight issue snack meal ordered childs option marked regular meal arrived well exactly asked crew member told difference sticker box staff ok couple decent mostly ok overall seems tad cheap days great sit upstairs enjoyment ended seemed bit dull like average,2023-01-08,Not Verified,0.20671079,0.35539868,0.43789056,3
273,"The staff are friendly. The plane was cold, we were shivering, they gave light blankets but they were not enough. Meals were basic. Entertainment was basic. Luggage is delayed, today is day 6 and BA staff over the phone say ""call after 72 hours"". Tracking system is very vague, had to extract information from staff that they arrived to Vancouver on Jan 2nd. I offered to collect baggage but very vague answer ""call the Airport"", asked her for BA phone number at YVR but she said ""we don't have a phone number for you to call, call the main Airport"". Their policy states you can make a claim only after 21 days.",staff friendly cold shivering gave light blankets enough meals basic entertainment basic luggage delayed today day staff phone say call hours tracking system vague extract information staff arrived vancouver jan nd offered collect baggage vague answer call airport asked phone number yvr said dont phone number call call main airport policy states make claim days,2023-01-06,Not Verified,0.5600038,0.37014216,0.06985402,1
275,"Definitely not recommended, especially for business class. The seats are ridiculous and small, the food is mediocre if that, and good luck with the internet even if you pay for full internet for the entire flight. The service however has been great. My attendant saved me from crying. I don’t know who designed this aircraft but in this expensive business class, in order to move out of you middle seat to go to the bathroom you must rudely climb over the person’s legs sitting in the aisle seat. Your seat is like an enclosed tiny cubicle with no storage space. I’ve unfortunately traveled British Airways business class at least 4 times within the last 4 months. Never again unless there is no other choice. By the way, the business class lounge south at Heathrow is a cattle pen.",definitely recommended especially business class seats ridiculous small food mediocre good luck internet even pay full internet entire service however great attendant saved crying dont know designed expensive business class order move middle go bathroom must rudely climb persons legs sitting aisle like enclosed tiny cubicle storage space ive unfortunately traveled business class least times within last months never unless choice way business class lounge south heathrow cattle pen,2023-01-02,Verified ,0.7397105,0.19569162,0.06459799,1
276,"BA shuttle service across the UK is still surprisingly a good product. When compared with BA long haul that doesn’t always get the best of comments at times. It’s reasonable priced, works well, fresh crews and no queues or long distances to walk. I don’t know why they still offer a COVID style bottle of water and snack when just stretching to a cup of tea and snack would be great add on for this service. Currently they have an on line sky cafe but it’s too fiddly to work or get connected in short trips.",shuttle service across uk still surprisingly good product compared long haul doesnt always get best comments times reasonable priced works well fresh crews queues long distances walk dont know still offer covid style bottle water snack stretching cup tea snack would great add service currently line sky cafe fiddly work get connected short trips,2023-01-02,Verified ,0.06635652,0.24196176,0.6916818,4
277,"I must admit like many others I tend to avoid BA long haul where possible due to the many poor reviews. But had my first ride on a BA A380 the other day so it was an exception. What can I say. Aircraft immaculate and economy seat really comfortable but that’s about it. IFE didn’t work but wasn’t that interesting anyway. I got the map screenshot for a while. Lunch was poor quality but plenty of nice white wine and other alcoholic drinks made up for it. Cabin crew pleasant but poor grooming lets them down. Some skirts, some trouser suits, some long sleeves some short. Some jackets some waistcoat. Some cardigans on at time and all in all they could have done better I think. Baggage delivery was really quick. Summing up well I am still not coming back to BA not yet. Maybe the old charm will return soon.",must admit like many others tend avoid long haul possible due many poor reviews first ride day exception say immaculate economy really comfortable thats ife didnt work wasnt interesting anyway got map screenshot lunch poor quality plenty nice white wine alcoholic drinks made cabin crew pleasant poor grooming lets skirts trouser suits long sleeves short jackets waistcoat cardigans time could done better think baggage delivery really quick summing well still coming back yet maybe old charm return soon,2023-01-01,Verified ,0.5636245,0.33090273,0.105472825,1
278,"When will BA update their Business class cabin - 8 across on a 777. It is not so much travelling facing backwards as it were, but the cabin staff having to pass food trays across the front of passengers paying business class fares! As for having to pay to reserve a specific seat - an antiquated idea. The cabin staff were fine, food acceptable, check-in OK and Business lounge (breakfast) acceptable. The lack of space in the seating area, small screen and disfunctional entertainment equipment disappointing. Having to step over the reclining passengers feet is not attractive.",update business class cabin across much travelling facing backwards cabin staff pass food trays across front passengers paying business class fares pay reserve specific antiquated idea cabin staff fine food acceptable checkin ok business lounge breakfast acceptable lack space seating area small screen disfunctional entertainment equipment disappointing step reclining passengers feet attractive,2022-12-30,Not Verified,0.67092884,0.26435444,0.06471665,1
279,Paid £200 day before flight for an upgrade from economy to premium economy. At checkin they could not find my booking so a little wait while they rang someone who explains on the upgrade you get deleted from the system the checkin agent sees? Took about 5 minutes to resolve. Seat was nice enough. Stowage pocket in front a bit small. Food was reasonably nice. Shame that the bathroom is all the way back through economy and there is a bit of a queue. IFE system is good but selection mediocre. Worst part of the flight is that at CPT so we were on a remote stand and bussed in. Through passport control quickly but then it took an absolute age to get our luggage which ruined what would otherwise have been a reasonable flight. Upgrade was worth it at £200 maybe £300 (its a long flight) but their offers of £2000 or whatever for premium economy is comedy pricing. Score before the luggage fiasco would have been 7 or 8 / 10. With the luggage fiasco I can't rate it more than 4/10.,paid day upgrade economy premium economy checkin could find booking little wait rang someone explains upgrade get deleted system checkin agent sees took minutes resolve nice enough stowage pocket front bit small food reasonably nice shame bathroom way back economy bit queue ife system good selection mediocre worst part cpt remote stand bussed passport control quickly took absolute age get luggage ruined would otherwise reasonable upgrade worth maybe long offers whatever premium economy comedy pricing score luggage fiasco would luggage fiasco cant rate,2022-12-29,Verified ,0.6019833,0.30175284,0.09626384,1
280,"BA website did not work (weirdly deleted my flight from ""upcoming flights"" on the day of departure). Chaos at Cape Town airport with hundreds queuing as the computers were down. Chaos at the gate / no queue management for premium passengers. Very nice new A350 with smart new club suite. Champagne warm (cabin crew said its impossible to serve it cold, which is not true as Air France manage it). Disappointing meal, wine served so late after the food you have finished by the time it arrives. Cheese ice cold and tasteless (why can't the champagne / white wine be in the fridge used for the cheese?). Good IFE system but mediocre film selection. Disappointing breakfast. Overall: 3 / 10. Flew Air France business the month before which was way better. So sad what's become of BA.",website work weirdly deleted upcoming day departure chaos cape town airport hundreds queuing computers chaos gate queue management premium passengers nice new smart new club suite champagne warm cabin crew said impossible serve cold true air france manage disappointing meal wine served late food finished time arrives cheese ice cold tasteless cant champagne white wine fridge used cheese good ife system mediocre film selection disappointing breakfast overall flew air france business month way better sad whats become,2022-12-29,Verified ,0.69234014,0.23442237,0.073237546,1
281,"Absolutely terrible experience with British Airways. After a short flight from London Heathrow to Frankfurt, they couldn't get my suitcase to me in time for my next flight (on Cathay Pacific) to Melbourne, despite a 3 hour gap between the two flights. Told me they would arrange for the suitcase to be transferred directly to Melbourne - instead, it got to Hong Kong and left there. When they finally tracked it down, they sent it back to London. All happened over Christmas, so very stressful yet minimal communication from their team. While the plane crew may be lovely, the service outside of this has been nothing short of dreadful, and if given the option, I will avoid flying with them in future.",absolutely terrible experience short heathrow couldnt get suitcase time next cathay pacific melbourne despite hour gap two told would arrange suitcase transferred directly melbourne instead got hong kong left finally tracked sent back happened christmas stressful yet minimal communication team crew may lovely service outside nothing short dreadful given option avoid future,2022-12-29,Verified ,0.9088278,0.07898256,0.01218964,1
283,"Old A320 with narrow pitch. Flight perfectly on time, with constant announcements from cockpit. Friendly staff, free chips and water. Quick luggage delivery at T5.",old narrow pitch perfectly time constant announcements cockpit friendly staff free chips water quick luggage delivery,2022-12-24,Verified ,0.003744559,0.10505361,0.89120185,5
284,"Another BA Shambles. Started off well with excellent check in at first at t5, mid afternoon so avoided the early morning, evening scrum. Into the Concorde lounge, excellent service again. Great choice of cocktails, wine etc. Food ok a bit overcooked but pretty reasonable. Called to the boarding gate. Chaos, people jostling for position to get on the plane. People with children under 5 called before the 8 people in first bankrolling the flight and most of them well over 5. We get on to be told that none of the lights in first can be dimmed at all, so the lights were on all night. It was like being detained and interrogated! Excellent wine and champagne selection. Dinner menu handed out. I’ll have the prawn cocktail to start please. No you won’t as they’ve only loaded one for 8 people and the guy in 1A got it. I bet he felt like he’d won the lottery. Ok I’ll have the beef wellington, basically a freezing slice of beef with some lettuce. Mains,  I’ll have the curry, no you won’t as they’ve substituted that with Christmas dinner.  I’m going to the Maldives to get away from Christmas. I ended up with short ribs that were inedible, no salad starter, no water offered, no bread roll. I just couldn’t eat it. So basically my husband and I have spent £20,000 on 2 return seats to be blinded by lights on and left starving. No apologies. Watch out BA as Virgin start flying direct in October. As always you rest on your laurels and treat your customers like idiots.",another shambles started well excellent first mid afternoon avoided early morning evening scrum concorde lounge excellent service great choice cocktails wine etc food ok bit overcooked pretty reasonable called gate chaos people jostling position get people children called people first bankrolling well get told none lights first dimmed lights night like detained interrogated excellent wine champagne selection dinner menu handed ill prawn cocktail start please wont theyve loaded one people guy got bet felt like hed lottery ok ill beef wellington basically freezing slice beef lettuce mains ill curry wont theyve substituted christmas dinner im going maldives get away christmas ended short ribs inedible salad starter water offered bread roll couldnt eat basically husband spent return seats blinded lights left starving apologies watch virgin start direct october always rest laurels treat customers like idiots,2022-12-22,Verified ,0.57988226,0.29827183,0.12184585,1
285,"BA cancelled my flight home to Heathrow on Dec 19th. On the face of it, that was sensible as the weather in Iceland was appalling. However, what was not acceptable was that the flight was cancelled only 4 hours before take off time by which time I was already struggling through dreadful driving conditions to get to the airport. I got nowhere near before the conditions became too bad. If they had taken advice they would have spared everyone the need to try and travel on roads that all ended up closed. I am now booked onto the flight on the 21st and downgraded for my sins. Having checked today, as I type they have not cancelled the flight on the 20th despite the road to Keflavík being closed! Do they not check these things? Any help from BA offered - not really.",cancelled home heathrow dec th face sensible weather iceland appalling however acceptable cancelled hours take time time already struggling dreadful driving conditions get airport got nowhere near conditions became bad taken advice would spared everyone need try travel roads ended closed booked onto st downgraded sins checked today type cancelled th despite road keflavk closed things help offered really,2022-12-20,Not Verified,0.7698966,0.19889759,0.03120579,1
286,"BA cancelled my flight home, the last flight of the day into Heathrow, and tried to push me onto another flight to London City 3 hours later! My car was at Heathrow. I didn't want to try and cross London late at night on public transport with luggage, especially as there were rail strikes announced around that time. I had to book a flight home with Lufthansa which cost €500 for an economy seat, but at least it got me home to Heathrow (all be it another terminal) on the Friday night so I could get home to family. I still have had no news on a refund of the €500 2 months on. It's such a shame, flying BA used to be such a pleasurable experience. BA have cancelled or moved one leg of every journey we've booked this year. We are regrettably have to use other airlines now which have much better reliability and customer service.",cancelled home last day heathrow tried push onto another city hours later car heathrow didnt want try cross late night public transport luggage especially rail strikes announced around time book home lufthansa cost economy least got home heathrow another terminal friday night could get home family still news refund months shame used pleasurable experience cancelled moved one leg every journey weve booked year regrettably use airlines much better reliability customer service,2022-12-19,Not Verified,0.65717256,0.2703967,0.07243071,1
287,"Turned up 3.5 hours in advance, Terminal 5 at London Heathrow was already carnage, 100s of people trying to check in, only 5 desks manned. Long queues at security due to only 4 lines open. People stressed, pushing, shouting, and flight delayed by 2 hours, according to pilot delay due to suitcases all needing to be loaded. Missed connecting flight in Doha, 12 hours wait til next one. Received a voucher, approx £6 for the whole day. Arrived 1 day later, my suitcase didn’t arrive with me. Filed a claim at the desk, for 5 days no update, no information, no offer of compensation and no solution offer. I now have a spoilt holiday, many personal belongings are gone, xmas gifts missing, extensive expenses I don’t know if I will be reimbursed. Beware with BA, expect low level or zero customer service, old planes, and zero help if anything goes wrong or missing. I will personally avoid BA in future at all costs.",turned hours advance terminal heathrow already carnage people trying desks manned long queues security due lines open people stressed pushing shouting delayed hours according pilot delay due suitcases needing loaded missed connecting doha hours wait til next one received voucher approx whole day arrived day later suitcase didnt arrive filed claim desk days update information offer compensation solution offer spoilt holiday many personal belongings gone xmas gifts missing extensive expenses dont know reimbursed beware expect low level zero customer service old planes zero help anything goes wrong missing personally avoid future costs,2022-12-19,Verified ,0.8994026,0.09091524,0.009682289,1
288,"Boarding – at gate at LGW they called Group 1 to board (we were World Traveller Plus & Group 3), then called ""anyone in Groups 2-6"", whereupon everyone else surged forward. Why have numbered boarding groups if you don’t use them. Cabin crew - Treated passengers as an inconvenience as they moved about the plane. At one point a passenger was coming out of the toilet as a crew member approached and the crew member just pushed the door closed pushing them back into the toilet as they went past, and without even a word. No acknowledgement when you stood aside to let them past. Service – We were in the final row of six in WT+ (which has a total of 48 seats). The lunch meal was brought out and we were the last people to be served (not unusual for back row seats) but when it came to us there was only the vegetarian option left of the 3 menu options. Cabin steward said that they had only been given 48 WT+ meals. There was a second hot meal served before we landed. Again, the same server got to us last and again there was only a vegetarian option left. I asked if it might not have been possible to commence serving this second meal from back to front so that we had a choice for at least one meal, and she said she hadn’t thought of that! Food – Some of it was inedible. Vegetarian Cannelloni had pasta so thick and uncooked neither of us could eat it. The bread roll was crispy like toast in the bottom half and soft in the top half. Only thing I could eat was the Baby Bel! In between meal snacks consisted of a 2 biscuit pack of shortbread, pretty basic. Drinks – They ran out of red wine 4 hours into an 11-hour flight. Toilets – There was no toilet accessible directly from the WT+ section. We had to walk halfway down the plane through Economy to reach a shared toilet. We flew Virgin Atlantic 2 months before in equivalent (Premium Economy) and it was so much better. Organised boarding, sparkling wine or orange on boarding (water or orange in BA), food options available (even in last row seats), better food, proper glasses/cups for drinks, dedicated toilet access, help yourself snacks, helpful service from cabin crew. We will not be looking to fly BA over Virgin in future.",gate lgw called group board world traveller plus group called anyone groups whereupon everyone else surged forward numbered groups dont use cabin crew treated passengers inconvenience moved one point passenger coming toilet crew member approached crew member pushed door closed pushing back toilet went past without even word acknowledgement stood aside let past service final row six wt total seats lunch meal brought last people served unusual back row seats came us vegetarian option left menu options cabin steward said given wt meals second hot meal served landed server got us last vegetarian option left asked might possible commence serving second meal back front choice least one meal said hadnt thought food inedible vegetarian cannelloni pasta thick uncooked neither us could eat bread roll crispy like toast bottom half soft top half thing could eat baby bel meal snacks consisted biscuit pack shortbread pretty basic drinks ran red wine hours hour toilets toilet accessible directly wt section walk halfway economy reach shared toilet flew virgin atlantic months equivalent premium economy much better organised sparkling wine orange water orange food options available even last row seats better food proper glassescups drinks dedicated toilet access help snacks helpful service cabin crew looking virgin future,2022-12-19,Not Verified,0.24586928,0.5128835,0.24124719,2
289,"Missing baggage customer service was the worst I’ve ever experienced. I arrived back in Phoenix on Sunday evening and air tags showed my bags arrived on Monday, but it took three more days before they were finally delivered. I understood that due to delays caused by freezing fog in London my luggage did not make it onto my final flight. I filled out the required form at the Phoenix airport and then attempted to fill one out online where I received a message saying that the bags had already been reported missing and to enter the tracking code that had been sent to me via email, but no email was received. I made phone calls daily and was told a message was sent and I should hear back within 24 hours. Finally the email with the tracking number was received on Tuesday night. I went online with the tracking number on Wednesday and it requested that I provide the same information that I had given them on the form at the airport. My luggage was finally delivered on Thursday afternoon.",missing baggage customer service worst ive ever experienced arrived back phoenix sunday evening air tags showed bags arrived monday took three days finally delivered understood due delays caused freezing fog luggage make onto final filled required form phoenix airport attempted fill one online received message saying bags already reported missing enter tracking code sent via email email received made phone calls daily told message sent hear back within hours finally email tracking number received tuesday night went online tracking number wednesday requested provide information given form airport luggage finally delivered thursday afternoon,2022-12-17,Verified ,0.7728571,0.20370516,0.023437768,1
290,"British Airways are not the flag carrier they used to be. The check-in staff at the Club Europe area did not display any premium service and did not provide a good overall service.  The Galleries South Lounge was very busy, but the food was very good. There is a good array of salads, pasta, bread, and hot food available. The festive Turkey and Ham pie was particularly good. The flight was delayed as LHR was very busy on a Tuesday evening. The boarding process was stressful due to the lack of any queue management system and the majority of passengers congregating around the gate. Despite BA using a group system to board, it took almost 1hr to board 240 passengers. The flight itself was good, with a good Club meal service. The bar service was good but it seems that BA have done away with champagne on-board and also in the lounge. A menu is handed out prior to departure with a good food offering for the length of flight. The food was very good, with beef cheek served with vegetables being chosen. BA have always excelled with their catering and this has not changed. The seat is a standard economy seat, with a table in the middle seat for Club Europe, a standard practice for BA. The seat was comfortable, but with limited leg room. The cabin was clean, presentable, and tidy with no issues. The A321 featured Wi-Fi which contains a very good landing page with flight information, access to the Speedbird Cafe menu, access to BA.com, and a good pricing strategy for wither just messaging or streaming also. Overall, the airline is still a good world player, but with clear improvements needed with their ground staff. The cabin manager was very good, but the other crew in Club did not display the expected behaviours in business class. She kept touching her face, not making eye contact with passengers, and seemed uninterested and like she did not want to be there.",flag carrier used checkin staff club europe area display premium service provide good overall service galleries south lounge busy food good good array salads pasta bread hot food available festive turkey ham pie particularly good delayed lhr busy tuesday evening process stressful due lack queue management system majority passengers congregating around gate despite using group system board took almost hr board passengers good good club meal service bar service good seems done away champagne onboard also lounge menu handed prior departure good food offering length food good beef cheek served vegetables chosen always excelled catering changed standard economy table middle club europe standard practice comfortable limited leg room cabin clean presentable tidy issues featured wifi contains good landing page information access speedbird cafe menu access bacom good pricing strategy wither messaging streaming also overall still good world player clear improvements needed ground staff cabin manager good crew club display expected behaviours business class kept touching face making eye contact passengers seemed uninterested like want,2022-12-14,Verified ,0.043144837,0.2253383,0.73151684,4
291,"Stupidly tried BA again after a five year gap and paid over £7000 for my wife and I to go to Barbados because I thought the new Business Class layout might rival Virgin Atlantic on the route. About six months ago BA announced they were switching planes to the old antique push-me-pull-you layout but it was too late to reorganise our holiday logistics. Sure enough we suffered the most appallingly uncomfortable flights with no room (eight seats across), worn out fittings, inedible food and surly FAs.",stupidly tried five year gap paid wife go barbados thought new business class layout might rival virgin atlantic route six months ago announced switching planes old antique pushmepullyou layout late reorganise holiday logistics sure enough suffered appallingly uncomfortable room eight seats across worn fittings inedible food surly fas,2022-12-12,Verified ,0.88217735,0.10048173,0.017340964,1
292,Seat horribly narrow; 3-4-3 on a 777. Thankfully the flight was only a quarter full so was able to stretch out. Food and beverage service was good and it was great having a proper beer not a cup of froth that overflows! Cabin crew very good. Booked as a BA ticket that included travel on Qatar Airways as well.,horribly narrow thankfully quarter full able stretch food beverage service good great proper beer cup froth overflows cabin crew good booked ticket included travel qatar well,2022-12-12,Not Verified,0.0043224106,0.02547874,0.9701989,5
293,"Glasgow to London delayed by 1 hour. My wife and I now accept that a BA flight will be late and delayed. Very rarely on time. As long as you accept this, you won’t be disappointed planning ahead. There’s a high risk of delays. If you are connecting with another airline with OneWorld it’s extremely risky.",delayed hour wife accept late delayed rarely time long accept wont disappointed planning ahead theres high risk delays connecting another oneworld extremely risky,2022-12-10,Verified ,0.47689006,0.42643425,0.09667571,1
294,"When I tried to check in online, I was offered an upgrade to premium economy for just under £300. I decided to take it, but then the website wouldn't allow me to choose seats or to check in. I phoned BA and was happy that the call was picked up quickly, but I was then told that because I had changed my booking, I had to check in at the airport. So we turned up three hours before the flight, only to be told that our two adjacent aisle seats in economy had been switched to the middle seats in a row of four in premium. The check-in agent was helpful but couldn't fix and suggested we try the BA desk airside. That desk was understaffed but when we did reach the front of the line, we were told to try at the boarding gate. At the gate, we finally managed to get one aisle seat and one window, not sitting together. After going through that, the flight was surprisingly good, with decent food and very good service. We flew back economy, which wasn't too bad either. The flight attendants were friendly and enthusiastic, and Emma and Daniel, who looked after us, could not have been better. I've obviously learned my lesson about late BA upgrades, but everything else was good.",tried online offered upgrade premium economy decided take website wouldnt allow choose seats phoned happy call picked quickly told changed booking airport turned three hours told two adjacent aisle seats economy switched middle seats row four premium checkin agent helpful couldnt fix suggested try desk airside desk understaffed reach front line told try gate gate finally managed get one aisle one window sitting together going surprisingly good decent food good service flew back economy wasnt bad either attendants friendly enthusiastic emma daniel looked us could better ive obviously learned lesson late upgrades everything else good,2022-12-10,Verified ,0.03251104,0.17116039,0.7963286,4
295,"I flew from Prague to LHR. Excellent service, attentive staff, first drink service, then meal service (choice of three meals), later second drink service. In reality - excellent flight. Couple of days later I flew back from LHR to Prague. Boarding at LHR T5 was a total chaos. Onboard service cannot really be called service: No curtain between business and economy class (which later caused people endlessly passing to get to the toilet). Meal service could not get more unprofessional - 5 rows took two guys nearly 30 mins to serve. Constantly interrupted (no people passing to the toilets at this time yet). I don´t know if there was any meal choice as no one bothers talking to you. I was served that  afternoon tea consisting of three canapes-like bites and some drink. Why would we bother serving you also a scone. Hardly after 5 mins plates to be taken away - when I asked for my scone it came as a surprise I was not served any (no co-ordination between the crew).  Crew busy chatting at the galley. In reality - the service could not get any worse. One just must ask what do you pay the premium price for?",flew prague lhr excellent service attentive staff first drink service meal service choice three meals later second drink service reality excellent couple days later flew back lhr prague lhr total chaos onboard service cannot really called service curtain business economy class later caused people endlessly passing get toilet meal service could get unprofessional rows took two guys nearly mins serve constantly interrupted people passing toilets time yet dont know meal choice one bothers talking served afternoon tea consisting three canapeslike bites drink would bother serving also scone hardly mins plates taken away asked scone came surprise served coordination crew crew busy chatting galley reality service could get worse one must ask pay premium price,2022-12-09,Verified ,0.7229319,0.21684885,0.060219295,1
296,"Disappointing again especially on business. The service is ancient, one world lounges are a catastrophe at Heathrow. Business class seat is similar to economy and electronics are very poor onboard.",disappointing especially business service ancient one world lounges catastrophe heathrow business class similar economy electronics poor onboard,2022-12-09,Verified ,0.9104322,0.07909504,0.010472811,1
297,During both the outbound and return flights we were not offered a decent meal. We received a tiny bag of chips and a very small bottle of water. What outraged us the most is that during the return flight we couldn't even order any food / drink because the card reader didn't function. The first and last time we'll fly with BA.,outbound return offered decent meal received tiny bag chips small bottle water outraged us return couldnt even order food drink card reader didnt function first last time well,2022-12-08,Verified ,0.9485732,0.046137005,0.0052899085,1
298,"I was flying to Warsaw for one day of meetings and would be flying back out to Miami the next day. Initially my flight was delayed in Denver by 3 hours. As such I knew I would miss my connection in Warsaw. The Denver to Heathrow flight was terrible. The plane was dirty, I was in economy, I usually fly business or Premium Economy but on this flight there was no availability. The plane was only about 2/3 full and the service was not good. My food was inedible and the seats very cramped although the middle seat was open so that made it tolerable. When i arrived in Heathrow it was a complete circus. Passengers everywhere trying to rebook missed connections. Not only my flight but multiple other flights had missed connections. After waiting in line for an hour I was finally rebooked on another BA flight to Warsaw. This plane was the smallest 3x3 plane I have seen. Packed in like sardines. My bag never showed up so i had to cancel my meeting and now have no bag to fly back to Miami. BA has shown no desire to help other than to give me standard answers and that hopefully my bag will show up in Miami at some point and I can retrieve it from there. I mean the bag is sitting in Heathrow somewhere with 6 different fight options to get it to Warsaw yet BA in unwilling to do anything to expedite getting my bag to Warsaw before I leave for Miami the next day.",warsaw one day meetings would back miami next day initially delayed denver hours knew would miss connection warsaw denver heathrow terrible dirty economy usually business premium economy availability full service good food inedible seats cramped although middle open made tolerable arrived heathrow complete circus passengers everywhere trying rebook missed connections multiple missed connections waiting line hour finally rebooked another warsaw smallest x seen packed like sardines bag never showed cancel meeting bag back miami shown desire help give standard answers hopefully bag show miami point retrieve mean bag sitting heathrow somewhere different fight options get warsaw yet unwilling anything expedite getting bag warsaw leave miami next day,2022-12-03,Verified ,0.7610846,0.20400405,0.034911383,1
299,"Booked a BA holiday to Marrakech, after posting a negative review regarding my double tier points credit, I can now confirm that the points have been credited. It took a while but BA did eventually make good on their promise, thank you. Based on things now being resolved I have travelled on BA since and I am booked to travel to South Africa in First class on 2nd January, looking forward to the new BA Concorde lounge. Keep it up BA, loyalty is indeed a 2way street.",booked holiday marrakech posting negative review regarding double tier points credit confirm points credited took eventually make good promise thank based things resolved travelled since booked travel south africa first class nd january looking forward new concorde lounge keep loyalty indeed way street,2022-11-30,Verified ,0.007908991,0.08286659,0.9092244,5
300,"Extremely sub-par service. Highlights: No online meal selection. Staff pretty much dropped off whatever meal they had and were very rude if a passenger wanted it changed. Last meal was delayed to the last 40 minutes of flight. Plates were literally grabbed away. I had to hand over my unfinished plate that the staff again dropped on me. No apology. No offer of a napkin. I had to scrounge for a piece of paper to clean my jacket. None of the passengers were told to straighten up their seats before meal. Because the seat before me was so tilted, I could barely keep the plate on the tray without things slipping off. Staff walked down with some water and biscuits. This got exhausted just before she got to me. She just looked at me and walked away. Nothing further was offered.",extremely subpar service highlights online meal selection staff pretty much dropped whatever meal rude passenger wanted changed last meal delayed last minutes plates literally grabbed away hand unfinished plate staff dropped apology offer napkin scrounge piece paper clean jacket none passengers told straighten seats meal tilted could barely keep plate tray without things slipping staff walked water biscuits got exhausted got looked walked away nothing offered,2022-11-28,Verified ,0.88623565,0.102662824,0.011101699,1
301,"I virtually gave up on British Airways about three years ago, writing off my Avios and opting for other airlines. But my return flights from Heathrow to Lisbon this week were very good. The aircraft were pretty much full, but the service was excellent and the food surprisingly good. A particular shout-out to a flight attendant called Jo, but all the teams there and back were enthusiastic and attentive. I'm going to have to start spending those Avios.",virtually gave three years ago writing avios opting airlines return heathrow lisbon week good pretty much full service excellent food surprisingly good particular shoutout attendant called jo teams back enthusiastic attentive im going start spending avios,2022-11-26,Verified ,0.0040517016,0.027085751,0.96886265,5
302,"I was pleasantly surprised that the airline could maintain a steady schedule with little delay considering the time of the year and the weather. The flight from Montreal was my return flight to Scotland, but I originally booked to fly to and from Toronto, but the airline helped me cancel and I rebooked for a cheaper flight. The inflight service was pretty decent andthey do offer a blanket and pillow. As well they walk through the cabin offering drinks and handing out a small snack prior to the leading meal service. While the food was typical air plane food. I thoroughly enjoyed my flight and had no issues at all with my flights.",pleasantly surprised could maintain steady schedule little delay considering time year weather montreal return scotland originally booked toronto helped cancel rebooked cheaper inflight service pretty decent andthey offer blanket pillow well walk cabin offering drinks handing small snack prior leading meal service food typical air food thoroughly enjoyed issues,2022-11-25,Verified ,0.0033621963,0.026034813,0.9706029,5
